,时间,温度
1107,2010-08-06 03:00:00,32.469614817074486
1116,2010-08-06 04:00:00,32.20757005116884
1125,2010-08-06 05:00:00,30.466210278403846
1134,2010-08-06 06:00:00,30.61300793154501
1143,2010-08-06 07:00:00,31.510664625454346
1152,2010-08-06 08:00:00,30.521204623088067
1161,2010-08-06 09:00:00,30.38289713272188
1170,2010-08-06 10:00:00,29.126079165810097
1179,2010-08-06 11:00:00,28.993030098840013
1188,2010-08-06 12:00:00,28.514677895525974
1197,2010-08-06 13:00:00,28.319951904139128
1206,2010-08-06 14:00:00,27.789946646007134
1215,2010-08-06 15:00:00,27.460144903632955
1224,2010-08-06 16:00:00,27.197990587239858
1233,2010-08-06 17:00:00,26.8725160891187
1242,2010-08-06 18:00:00,26.787943112831407
1251,2010-08-06 19:00:00,26.666561172771424
1260,2010-08-06 20:00:00,26.43168492774559
1269,2010-08-06 21:00:00,26.262648525658445
1278,2010-08-06 22:00:00,28.269284803707965
1287,2010-08-06 23:00:00,28.891038595053153
1296,2010-08-07 00:00:00,29.750133517391095
1305,2010-08-07 01:00:00,30.16160514813599
1314,2010-08-07 02:00:00,32.51217518143668
1323,2010-08-07 03:00:00,32.90442070163959
1332,2010-08-07 04:00:00,33.06792480411208
1341,2010-08-07 05:00:00,33.99554355633049
1350,2010-08-07 06:00:00,34.22817401636423
1359,2010-08-07 07:00:00,34.14097182837888
1368,2010-08-07 08:00:00,33.392249022115344
1377,2010-08-07 09:00:00,33.01928438769816
1386,2010-08-07 10:00:00,30.32242526366673
1395,2010-08-07 11:00:00,29.78053377764981
1404,2010-08-07 12:00:00,29.259237783267622
1413,2010-08-07 13:00:00,28.88523241921996
1422,2010-08-07 14:00:00,27.710632093115958
1431,2010-08-07 15:00:00,27.094684477603945
1440,2010-08-07 16:00:00,26.565993825321026
1449,2010-08-07 17:00:00,25.528715035196438
1458,2010-08-07 18:00:00,25.504559152720624
1467,2010-08-07 19:00:00,25.153395065299758
1476,2010-08-07 20:00:00,24.691694536073367
1485,2010-08-07 21:00:00,24.669620112858478
1494,2010-08-07 22:00:00,26.51242363697322
1503,2010-08-07 23:00:00,27.326821960444295
1512,2010-08-08 00:00:00,28.137221691124623
1521,2010-08-08 01:00:00,28.630034558777922
1530,2010-08-08 02:00:00,31.651984754224543
1539,2010-08-08 03:00:00,32.02237495218739
1548,2010-08-08 04:00:00,32.35946180197493
1557,2010-08-08 05:00:00,33.58040198425708
1566,2010-08-08 06:00:00,33.703810608334315
1575,2010-08-08 07:00:00,33.75436815827805
1584,2010-08-08 08:00:00,33.27053843059309
1593,2010-08-08 09:00:00,33.109663539818634
1602,2010-08-08 10:00:00,30.41203756237526
1611,2010-08-08 11:00:00,30.00138756028604
1620,2010-08-08 12:00:00,29.46020815243732
1629,2010-08-08 13:00:00,29.091954188979155
1638,2010-08-08 14:00:00,27.948959178495485
1647,2010-08-08 15:00:00,27.273251772096543
1656,2010-08-08 16:00:00,27.0067154362067
1665,2010-08-08 17:00:00,26.28346311826799
1674,2010-08-08 18:00:00,26.308111977937212
1683,2010-08-08 19:00:00,26.29688305297683
1692,2010-08-08 20:00:00,25.57521921710569
1701,2010-08-08 21:00:00,25.550515582192773
1710,2010-08-08 22:00:00,27.680724810050645
1719,2010-08-08 23:00:00,28.12067956752439
1728,2010-08-09 00:00:00,28.965039949304487
1737,2010-08-09 01:00:00,29.30015489031852
1746,2010-08-09 02:00:00,32.11472601308143
1755,2010-08-09 03:00:00,32.59762456162333
1764,2010-08-09 04:00:00,32.60206135636379
1773,2010-08-09 05:00:00,33.67220529271401
1782,2010-08-09 06:00:00,33.73076002823931
1791,2010-08-09 07:00:00,33.44921527557308
1800,2010-08-09 08:00:00,33.20705392313391
1809,2010-08-09 09:00:00,33.21461290676583
1818,2010-08-09 10:00:00,31.008266090151906
1827,2010-08-09 11:00:00,30.806747968545114
1836,2010-08-09 12:00:00,30.504607724244117
1845,2010-08-09 13:00:00,29.995197957746868
1854,2010-08-09 14:00:00,29.06872948564639
1863,2010-08-09 15:00:00,28.029369236260877
1872,2010-08-09 16:00:00,27.786988782846844
1881,2010-08-09 17:00:00,27.267938573456735
1890,2010-08-09 18:00:00,27.04297664754232
1899,2010-08-09 19:00:00,26.977355905578452
1908,2010-08-09 20:00:00,26.454088002422747
1917,2010-08-09 21:00:00,26.531375871296667
1926,2010-08-09 22:00:00,28.664652512802277
1935,2010-08-09 23:00:00,28.817420667507722
1944,2010-08-10 00:00:00,29.412772791385027
1953,2010-08-10 01:00:00,29.524459513308443
1962,2010-08-10 02:00:00,32.44770471959075
1971,2010-08-10 03:00:00,33.3103052575261
1980,2010-08-10 04:00:00,33.52047786763901
1989,2010-08-10 05:00:00,35.40113108515694
1998,2010-08-10 06:00:00,35.78291453381135
2007,2010-08-10 07:00:00,35.744407537483625
2016,2010-08-10 08:00:00,35.158421980280664
2025,2010-08-10 09:00:00,34.953233917345315
2034,2010-08-10 10:00:00,32.92863135935911
2043,2010-08-10 11:00:00,32.126995667672304
2052,2010-08-10 12:00:00,31.655983347015347
2061,2010-08-10 13:00:00,30.955955732409443
2070,2010-08-10 14:00:00,29.729428475268964
2079,2010-08-10 15:00:00,29.863134845163568
2088,2010-08-10 16:00:00,30.060106621542488
2097,2010-08-10 17:00:00,29.15297381047141
2106,2010-08-10 18:00:00,28.79633219867961
2115,2010-08-10 19:00:00,28.431419525087733
2124,2010-08-10 20:00:00,28.07866695559929
2133,2010-08-10 21:00:00,28.08721189361797
2142,2010-08-10 22:00:00,29.13473365431618
2151,2010-08-10 23:00:00,30.016560302793533
2160,2010-08-11 00:00:00,30.67813569631547
2169,2010-08-11 01:00:00,31.644590096323768
2178,2010-08-11 02:00:00,34.977389799821154
2187,2010-08-11 03:00:00,35.96641160023777
2196,2010-08-11 04:00:00,36.25929482835184
2205,2010-08-11 05:00:00,37.551661928431
2214,2010-08-11 06:00:00,37.86415469379301
2223,2010-08-11 07:00:00,37.98301697264237
2232,2010-08-11 08:00:00,37.23670427710204
2241,2010-08-11 09:00:00,36.88526631346266
2250,2010-08-11 10:00:00,34.93187157229866
2259,2010-08-11 11:00:00,35.25778427236948
2268,2010-08-11 12:00:00,34.94540105749488
2277,2010-08-11 13:00:00,34.50966399378674
2286,2010-08-11 14:00:00,32.65875373360301
2295,2010-08-11 15:00:00,31.73661250575556
2304,2010-08-11 16:00:00,31.526713771861214
2313,2010-08-11 17:00:00,30.832328007357383
2322,2010-08-11 18:00:00,30.576472843990846
2331,2010-08-11 19:00:00,30.435810018145148
2340,2010-08-11 20:00:00,29.688785244436588
2349,2010-08-11 21:00:00,29.58805357125506
2358,2010-08-11 22:00:00,31.30996813250318
2367,2010-08-11 23:00:00,32.0568285804806
2376,2010-08-12 00:00:00,33.198673310846374
2385,2010-08-12 01:00:00,34.066641822665275
2394,2010-08-12 02:00:00,37.48122096502074
2403,2010-08-12 03:00:00,37.819677195900994
2412,2010-08-12 04:00:00,38.11469665851972
2421,2010-08-12 05:00:00,39.51699767272362
2430,2010-08-12 06:00:00,39.87221512817898
2439,2010-08-12 07:00:00,39.866737603808026
2448,2010-08-12 08:00:00,37.694680089756176
2457,2010-08-12 09:00:00,37.35507357875802
2466,2010-08-12 10:00:00,34.237759684013355
2475,2010-08-12 11:00:00,33.58527698094722
2484,2010-08-12 12:00:00,33.55630087702495
2493,2010-08-12 13:00:00,33.1088966864067
2502,2010-08-12 14:00:00,32.719335153145586
2511,2010-08-12 15:00:00,32.036452189820714
2520,2010-08-12 16:00:00,31.929914340805958
2529,2010-08-12 17:00:00,31.317581891378786
2538,2010-08-12 18:00:00,31.06764245433284
2547,2010-08-12 19:00:00,30.661757898446346
2556,2010-08-12 20:00:00,29.912487339745716
2565,2010-08-12 21:00:00,29.86198456504566
2574,2010-08-12 22:00:00,31.378656288114744
2583,2010-08-12 23:00:00,32.001067382384456
2592,2010-08-13 00:00:00,33.00367344324097
2601,2010-08-13 01:00:00,33.75918837972453
2610,2010-08-13 02:00:00,37.264913527612386
2619,2010-08-13 03:00:00,37.65726859830268
2628,2010-08-13 04:00:00,37.82373056393551
2637,2010-08-13 05:00:00,39.427385374015074
2646,2010-08-13 06:00:00,39.9973765600549
2655,2010-08-13 07:00:00,39.68619840054189
2664,2010-08-13 08:00:00,38.87738715192914
2673,2010-08-13 09:00:00,38.53011210681168
2682,2010-08-13 10:00:00,36.14766288167211
2691,2010-08-13 11:00:00,36.032141892689005
2700,2010-08-13 12:00:00,35.383383906195114
2709,2010-08-13 13:00:00,35.30472665622844
2718,2010-08-13 14:00:00,34.00775843567768
2727,2010-08-13 15:00:00,33.28631370078139
2736,2010-08-13 16:00:00,32.826639855572274
2745,2010-08-13 17:00:00,31.936925572000746
2754,2010-08-13 18:00:00,31.563029758440514
2763,2010-08-13 19:00:00,31.148819365510192
2772,2010-08-13 20:00:00,30.171574242491115
2781,2010-08-13 21:00:00,30.243603687968932
2790,2010-08-13 22:00:00,31.855639110336043
2799,2010-08-13 23:00:00,32.87796425892797
2808,2010-08-14 00:00:00,33.73705918126591
2817,2010-08-14 01:00:00,34.479482834502875
2826,2010-08-14 02:00:00,37.466267323488054
2835,2010-08-14 03:00:00,37.782484805422335
2844,2010-08-14 04:00:00,38.001750105990986
2853,2010-08-14 05:00:00,39.67688660911132
2862,2010-08-14 06:00:00,39.91203673035571
2871,2010-08-14 07:00:00,40.24528931308357
2880,2010-08-14 08:00:00,39.58831504003323
2889,2010-08-14 09:00:00,38.81625797994948
2898,2010-08-14 10:00:00,36.51087752270902
2907,2010-08-14 11:00:00,36.70105716886801
2916,2010-08-14 12:00:00,35.78028532211326
2925,2010-08-14 13:00:00,34.92272410659918
2934,2010-08-14 14:00:00,33.49982760076057
2943,2010-08-14 15:00:00,32.953389769515766
2952,2010-08-14 16:00:00,32.66510766187329
2961,2010-08-14 17:00:00,31.931448047629836
2970,2010-08-14 18:00:00,31.605809223777555
2979,2010-08-14 19:00:00,31.44586551214617
2988,2010-08-14 20:00:00,30.513481313725055
2997,2010-08-14 21:00:00,30.4886681283247
3006,2010-08-14 22:00:00,32.01854068512776
3015,2010-08-14 23:00:00,32.9221131053577
3024,2010-08-15 00:00:00,34.55660637764568
3033,2010-08-15 01:00:00,35.47546109087057
3042,2010-08-15 02:00:00,38.51105032200082
3051,2010-08-15 03:00:00,38.594911220119876
3060,2010-08-15 04:00:00,38.357296212908594
3069,2010-08-15 05:00:00,38.5016289800828
3078,2010-08-15 06:00:00,38.2528945983985
3087,2010-08-15 07:00:00,38.43721329348056
3096,2010-08-15 08:00:00,36.65597714329517
3105,2010-08-15 09:00:00,35.50761415892797
3114,2010-08-15 10:00:00,31.92147895327471
3123,2010-08-15 11:00:00,31.46372224159539
3132,2010-08-15 12:00:00,30.911423459273724
3141,2010-08-15 13:00:00,30.998132670065665
3150,2010-08-15 14:00:00,29.686539459444514
3159,2010-08-15 15:00:00,28.770094856942833
3168,2010-08-15 16:00:00,28.569288813504233
3177,2010-08-15 17:00:00,27.843078632405245
3186,2010-08-15 18:00:00,27.657061904768188
3195,2010-08-15 19:00:00,27.66330628255106
3204,2010-08-15 20:00:00,27.268157674431567
3213,2010-08-15 21:00:00,27.390306467903475
3222,2010-08-15 22:00:00,27.552386414039564
3231,2010-08-15 23:00:00,28.120843893255525
3240,2010-08-16 00:00:00,29.266303789706132
3249,2010-08-16 01:00:00,30.581019189218708
3258,2010-08-16 02:00:00,33.721174360590176
3267,2010-08-16 03:00:00,34.277690836677515
3276,2010-08-16 04:00:00,34.802273345682266
3285,2010-08-16 05:00:00,35.84322207713535
3294,2010-08-16 06:00:00,36.104773865847655
3303,2010-08-16 07:00:00,35.006092027524886
3312,2010-08-16 08:00:00,33.39986278099096
3321,2010-08-16 09:00:00,32.95569032975157
3330,2010-08-16 10:00:00,28.324443474123314
3339,2010-08-16 11:00:00,27.943317328393423
3348,2010-08-16 12:00:00,27.70444249057679
3357,2010-08-16 13:00:00,27.756040770151046
3366,2010-08-16 14:00:00,27.450449685496398
3375,2010-08-16 15:00:00,27.205659121359176
3384,2010-08-16 16:00:00,27.133574900637612
3393,2010-08-16 17:00:00,27.0155890256876
3402,2010-08-16 18:00:00,26.967934563660446
3411,2010-08-16 19:00:00,26.871749235706766
3420,2010-08-16 20:00:00,26.791284402697688
3429,2010-08-16 21:00:00,26.829955724756513
3438,2010-08-16 22:00:00,27.754287962352343
3447,2010-08-16 23:00:00,28.10008407588968
3456,2010-08-17 00:00:00,29.011215479751527
3465,2010-08-17 01:00:00,29.841608174385765
3474,2010-08-17 02:00:00,33.57026856417086
3483,2010-08-17 03:00:00,34.042485940189415
3492,2010-08-17 04:00:00,34.374643018043095
3501,2010-08-17 05:00:00,36.54111345723659
3510,2010-08-17 06:00:00,36.59983251849306
3519,2010-08-17 07:00:00,35.493098719344985
3528,2010-08-17 08:00:00,32.66592929052896
3537,2010-08-17 09:00:00,30.222624769628244
3546,2010-08-17 10:00:00,28.612999457984344
3555,2010-08-17 11:00:00,28.925054021396665
3564,2010-08-17 12:00:00,28.777872941549568
3573,2010-08-17 13:00:00,29.04046545989236
3582,2010-08-17 14:00:00,28.38349118684201
3591,2010-08-17 15:00:00,27.930554696609146
3600,2010-08-17 16:00:00,27.969116468180545
3609,2010-08-17 17:00:00,27.81580056103799
3618,2010-08-17 18:00:00,27.65684280379332
3627,2010-08-17 19:00:00,27.769077278153887
3636,2010-08-17 20:00:00,27.40542443516729
3645,2010-08-17 21:00:00,27.28836973936031
3654,2010-08-17 22:00:00,29.407514367988913
3663,2010-08-17 23:00:00,29.730469204899425
3672,2010-08-18 00:00:00,30.528927932451097
3681,2010-08-18 01:00:00,31.11206517698118
3690,2010-08-18 02:00:00,34.0458272300557
3699,2010-08-18 03:00:00,34.46414576626423
3708,2010-08-18 04:00:00,34.47384098440082
3717,2010-08-18 05:00:00,34.43527921282941
3726,2010-08-18 06:00:00,34.67021023309893
3735,2010-08-18 07:00:00,35.193039934305
3744,2010-08-18 08:00:00,32.89516368545267
3753,2010-08-18 09:00:00,30.678190471559155
3762,2010-08-18 10:00:00,28.44511333601506
3771,2010-08-18 11:00:00,28.26917525322052
3780,2010-08-18 12:00:00,27.6951306991462
3789,2010-08-18 13:00:00,27.71901270540351
3798,2010-08-18 14:00:00,27.18774761666621
3807,2010-08-18 15:00:00,27.22116051532891
3816,2010-08-18 16:00:00,27.263282677741426
3825,2010-08-18 17:00:00,26.867093339991456
3834,2010-08-18 18:00:00,26.651005003557966
3843,2010-08-18 19:00:00,26.85230402418996
3852,2010-08-18 20:00:00,26.5279798061867
3861,2010-08-18 21:00:00,26.246270727789323
3870,2010-08-18 22:00:00,27.588592850131466
3879,2010-08-18 23:00:00,28.521908227695633
3888,2010-08-19 00:00:00,29.082039869867767
3897,2010-08-19 01:00:00,29.897971900162734
3906,2010-08-19 02:00:00,32.79317218166581
3915,2010-08-19 03:00:00,33.20946403385713
3924,2010-08-19 04:00:00,34.02298595342886
3933,2010-08-19 05:00:00,35.58796944144965
3942,2010-08-19 06:00:00,35.99998882463162
3951,2010-08-19 07:00:00,36.16825837330682
3960,2010-08-19 08:00:00,32.86547550336222
3969,2010-08-19 09:00:00,32.395394361848275
3978,2010-08-19 10:00:00,30.204494163960426
3987,2010-08-19 11:00:00,29.741205152666478
3996,2010-08-19 12:00:00,29.543247421900755
4005,2010-08-19 13:00:00,29.299881014099974
4014,2010-08-19 14:00:00,28.46368214363254
4023,2010-08-19 15:00:00,28.35993783204698
4032,2010-08-19 16:00:00,28.100357952108222
4041,2010-08-19 17:00:00,27.134999056974067
4050,2010-08-19 18:00:00,26.802458552414397
4059,2010-08-19 19:00:00,26.422975663995796
4068,2010-08-19 20:00:00,25.778380596023798
4077,2010-08-19 21:00:00,25.50198471626625
4086,2010-08-19 22:00:00,27.763052001345855
4095,2010-08-19 23:00:00,28.776339234725715
4104,2010-08-20 00:00:00,29.567238978645467
4113,2010-08-20 01:00:00,30.190471701570818
4122,2010-08-20 02:00:00,32.967247906174265
4131,2010-08-20 03:00:00,33.52239500116883
4140,2010-08-20 04:00:00,34.07436513202828
4149,2010-08-20 05:00:00,35.734055016422545
4158,2010-08-20 06:00:00,35.90046220681168
4167,2010-08-20 07:00:00,35.64520957112595
4176,2010-08-20 08:00:00,34.76716241446458
4185,2010-08-20 09:00:00,34.60426083967284
4194,2010-08-20 10:00:00,32.12732431913457
4203,2010-08-20 11:00:00,31.650177171182154
4212,2010-08-20 12:00:00,31.08736154206824
4221,2010-08-20 13:00:00,30.573076778880843
4230,2010-08-20 14:00:00,29.368185743005572
4239,2010-08-20 15:00:00,28.64318061726819
4248,2010-08-20 16:00:00,27.986425445192697
4257,2010-08-20 17:00:00,27.202536932467744
4266,2010-08-20 18:00:00,26.958896648448388
4275,2010-08-20 19:00:00,26.69252463828968
4284,2010-08-20 20:00:00,25.86936227582508
4293,2010-08-20 21:00:00,25.815901637964732
4302,2010-08-20 22:00:00,27.521986153780844
4311,2010-08-20 23:00:00,28.504489700196043
4320,2010-08-21 00:00:00,29.186660585352676
4329,2010-08-21 01:00:00,29.915061776200048
4338,2010-08-21 02:00:00,33.450201229959866
4347,2010-08-21 03:00:00,34.210810264108346
4356,2010-08-21 04:00:00,34.549814247425694
4365,2010-08-21 05:00:00,34.98193614504905
4374,2010-08-21 06:00:00,35.077025968128524
4383,2010-08-21 07:00:00,35.22798653979158
4392,2010-08-21 08:00:00,34.675687757469866
4401,2010-08-21 09:00:00,34.078692376281325
4410,2010-08-21 10:00:00,31.2382673384876
4419,2010-08-21 11:00:00,31.16278705265606
4428,2010-08-21 12:00:00,30.876641179518256
4437,2010-08-21 13:00:00,30.54267651862212
4446,2010-08-21 14:00:00,29.583014248833763
4455,2010-08-21 15:00:00,28.941815245971743
4464,2010-08-21 16:00:00,28.474965843836692
4473,2010-08-21 17:00:00,27.5402810851798
4482,2010-08-21 18:00:00,27.379406194405334
4491,2010-08-21 19:00:00,27.028844634665266
4500,2010-08-21 20:00:00,26.492266347288155
4509,2010-08-21 21:00:00,26.177308695959212
4518,2010-08-21 22:00:00,28.25339998303222
4527,2010-08-21 23:00:00,29.07782217610213
4536,2010-08-22 00:00:00,29.91434969803184
4545,2010-08-22 01:00:00,30.710781741566255
4554,2010-08-22 02:00:00,34.08159546419792
4563,2010-08-22 03:00:00,34.69480431752445
4572,2010-08-22 04:00:00,35.27328566633923
4581,2010-08-22 05:00:00,36.5616541736276
4590,2010-08-22 06:00:00,37.00829151083392
4599,2010-08-22 07:00:00,36.75994055585559
4608,2010-08-22 08:00:00,35.94285824544272
4617,2010-08-22 09:00:00,35.270108702204084
4626,2010-08-22 10:00:00,32.507354959990266
4635,2010-08-22 11:00:00,32.19584814901502
4644,2010-08-22 12:00:00,32.07709542065307
4653,2010-08-22 13:00:00,31.52589214320556
4662,2010-08-22 14:00:00,30.597177886112988
4671,2010-08-22 15:00:00,30.101188054324535
4680,2010-08-22 16:00:00,29.7570351980985
4689,2010-08-22 17:00:00,28.7857605766437
4698,2010-08-22 18:00:00,28.450536085142275
4707,2010-08-22 19:00:00,28.34832548038059
4716,2010-08-22 20:00:00,27.44124744455322
4725,2010-08-22 21:00:00,27.21223215060429
4734,2010-08-22 22:00:00,29.001136834909023
4743,2010-08-22 23:00:00,29.871570232694822
4752,2010-08-23 00:00:00,30.611419449477424
4761,2010-08-23 01:00:00,31.312159142251556
4770,2010-08-23 02:00:00,34.2583551756481
4779,2010-08-23 03:00:00,34.79816520240406
4788,2010-08-23 04:00:00,35.20027026647464
4797,2010-08-23 05:00:00,35.8931223241546
4806,2010-08-23 06:00:00,36.22648445736989
4815,2010-08-23 07:00:00,36.14174715535148
4824,2010-08-23 08:00:00,35.543437168313936
4833,2010-08-23 09:00:00,35.303795477085366
4842,2010-08-23 10:00:00,32.8239558686305
4851,2010-08-23 11:00:00,32.6027186592883
4860,2010-08-23 12:00:00,32.147152957357356
4869,2010-08-23 13:00:00,31.862650341530824
4878,2010-08-23 14:00:00,30.826028854330772
4887,2010-08-23 15:00:00,30.304951960923436
4896,2010-08-23 16:00:00,29.908324421223785
4905,2010-08-23 17:00:00,29.2813669817262
4914,2010-08-23 18:00:00,29.083737902422754
4923,2010-08-23 19:00:00,28.837906608655047
4932,2010-08-23 20:00:00,28.175893013183455
4941,2010-08-23 21:00:00,28.005432454759855
4950,2010-08-23 22:00:00,29.92990586724528
4959,2010-08-23 23:00:00,30.457555789897768
4968,2010-08-24 00:00:00,31.130633984598667
4977,2010-08-24 01:00:00,31.723302121534182
4986,2010-08-24 02:00:00,35.36004965237488
4995,2010-08-24 03:00:00,36.0816039377586
5004,2010-08-24 04:00:00,36.58159236233783
5013,2010-08-24 05:00:00,38.22117973229077
5022,2010-08-24 06:00:00,38.92991661064647
5031,2010-08-24 07:00:00,38.872895581945016
5040,2010-08-24 08:00:00,36.86472559707161
5049,2010-08-24 09:00:00,36.66512460899466
5058,2010-08-24 10:00:00,33.77961954562807
5067,2010-08-24 11:00:00,33.34174624741528
5076,2010-08-24 12:00:00,32.540274881459624
5085,2010-08-24 13:00:00,32.14414031895337
5094,2010-08-24 14:00:00,31.34913243175538
5103,2010-08-24 15:00:00,30.80532381220864
5112,2010-08-24 16:00:00,30.453557197106974
5121,2010-08-24 17:00:00,29.806990220361413
5130,2010-08-24 18:00:00,29.673393400954247
5139,2010-08-24 19:00:00,29.523090132215714
5148,2010-08-24 20:00:00,28.98119864619879
5157,2010-08-24 21:00:00,28.828047064787363
5166,2010-08-24 22:00:00,29.781957933986266
5175,2010-08-24 23:00:00,30.454926578199736
5184,2010-08-25 00:00:00,31.414917499450357
5193,2010-08-25 01:00:00,32.164571484856964
5202,2010-08-25 02:00:00,34.97295300508068
5211,2010-08-25 03:00:00,35.72852271680789
5220,2010-08-25 04:00:00,36.21010665950079
5229,2010-08-25 05:00:00,36.7304166994962
5238,2010-08-25 06:00:00,35.009488092634854
5247,2010-08-25 07:00:00,31.908771096734142
5256,2010-08-25 08:00:00,29.69568692514399
5265,2010-08-25 09:00:00,29.997772394201213
5274,2010-08-25 10:00:00,27.914943752151945
